;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual + Quarter-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual;Annual + Semi-Annual
Station;V_E;V_N;V_U;σ_E;σ_N;σ_U;V_E;V_N;V_U;σ_E;σ_N;σ_U
P131;-18.068925329836606;-8.099583411966728;0.4803416154654194;0.15494306695927335;0.09932342558580624;0.34977548962656047;-18.06723084868341;-8.100992693121773;0.4768185137108647;0.15523933924993477;0.09922207929124226;0.3512551404999387
P133;-17.661262268669145;-6.944882774644155;0.5147566873186447;0.05193626187916388;0.05191296978370859;0.15434093559957887;-17.661335530595288;-6.94359579430141;0.5151985808649362;0.052028383587114195;0.05219273606750831;0.1558153909175607
P134;-18.722792344427734;-5.910426757355451;0.3553779374535862;0.057446257751014994;0.049176858559718456;0.22599689008494764;-18.722432302287675;-5.910170512051111;0.3501585232196254;0.05761659363477966;0.049244140541203726;0.2288370612928071
P135;-18.693234839513735;-4.827279157749831;-0.8807573483828779;0.6298428839297352;0.4716170318019204;0.6354639289574326;-18.694096012401754;-4.828062265883605;-0.8816948986435134;0.6303056778782514;0.4715923187027431;0.63778264981841
P137;-17.93752882310394;-8.273057855959374;-1.0218448333563612;0.19538202824065684;0.09996917102505022;0.5466094540256453;-17.939217371344203;-8.27414819932293;-1.0233009556404484;0.1971847539898454;0.10074752393145299;0.5508631740743477
P138;-18.22963238160412;-7.893068474972143;-0.20923685666865802;0.042531492225045285;0.03640581249302538;0.13807345622360256;-18.230197174656993;-7.893342857626476;-0.20553303215395433;0.04266406267546835;0.03682018446010951;0.13964966756000144
SHLD;-16.608583458535858;-8.61649951629035;0.13889627513512395;0.09381920493846507;0.06604710949180065;0.26827801853035105;-16.60836739766498;-8.61609080275917;0.13899361025808657;0.093948908847372;0.06617481585413836;0.2697609113532898
TIVA;-15.801455021270852;-8.794003255146764;-1.04214342356923;0.06776457445068103;0.05425698078718585;0.17302642461537762;-15.801230087939551;-8.795281228430293;-1.0425380398809847;0.06793654377966371;0.054422653076001345;0.17440073618116061
TUNG;-17.810479136704362;-8.607697041369134;0.5181477800753412;0.05159477577544595;0.03769147769140394;0.13743142862534902;-17.81037723485029;-8.60753620215514;0.5148649796457357;0.05155700401393637;0.03774496054400823;0.13842851183957655
UPSA;-18.542622860641842;-7.610094559805049;-0.18056368693916905;0.0636546402013731;0.046306450743799285;0.17557097995278842;-18.542811948782003;-7.610038180104467;-0.18109967633513196;0.06375680935202545;0.04636513132995983;0.1767480419173065
